13.02,Bapst,Philippe,1987,"maître agriculteur, conseiller communal / Meisterlandwirt, Gemeinderat",,Ependes,718,
13.03,Egger,Benjamin,1990,étudiant en économie politique / Student in Volkswirtschaftslehre,,Cottens,508,
13.04,Lepori,Damiano,1990,"économiste, assistant de recherche / Ökonom, Forschungsmitarbeiter",,La Corbaz,570,
13.05,Peiry,Fabien,1984,"notaire, président PDC Sarine-Campagne / Notar, Präsident CVP Saane-Land",,Treyvaux,971,
13.06,Radermecker,Inès,1990,étudiante en économie politique / Studentin in Volkswirtschaftslehre,,Lentigny,288,
13.07,Stauffacher,Jérémy,1991,juriste / Jurist,,Vuisternens-en-Ogoz,325,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,14,Eidgenössisch-Demokratische Union (EDU),,,,,
Kürzel,,EDU,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,4'597,,,,,
Zusatzstimmen,,,160,,,,,
Parteistimmen,,,4'757,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
14.01,Lorente,José,1956,hôtelier / Hotelier,,Bulle,1'261,
14.02,Eichenberger,Philipp,1977,Unternehmer / entrepreneur,,Bösingen,1'228,
14.03,Thévoz,Ivan,1988,arboriculteur / Obstbauer,,Russy,893,
14.04,Gertsch,Walter,1958,Filialleiter / gérant,,Murten/Morat,561,
14.05,Deillon,Jacques,1989,étudiant / Student,,Lovens,654,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,15,Junge Bürgerlich-Demokratische Partei,,,,,
Kürzel,,JBDP,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,1'763,,,,,
Zusatzstimmen,,,81,,,,,
Parteistimmen,,,1'844,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
15.01,Castioni,Patrick,1995,étudiant à la faculté de droit / Student an der Rechtswissenschaftlichen Fakultät,,Cheyres,646,
15.02,Mayor,Léa Chloé,1997,apprentie employée de banque / Kaufmännische Banklehre,,Payerne,238,
15.03,Meylan,Joël,1995,étudiant / Gymnasiast,,Vuissens,359,
15.04,Lesquereux,Alexis,1995,étudiant / Gymnasiast,,Fétigny,210,
15.05,Käppeli,Patrik,1996,agent relation clients / Fachmann Kundendialog EFZ,,Murten/Morat,166,
15.06,Solomine,Elissei,1996,étudiant / Gymnasiast,,Châbles,144,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,16,BDP Freiburg (Bürgerlich-Demokratische Partei des Kantons Freiburg),,,,,
Kürzel,,BDP,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,5'991,,,,,
Zusatzstimmen,,,236,,,,,
Parteistimmen,,,6'227,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
16.01,Huser Bossel,Claire,1955,"physiothérapeute, maître d'éducation physique / Physiotherapeutin, Sportlehrerin",,La Tour-de-Trême,2'120,
16.03,Barbey,Julien,1986,gestionnaire d'entreprise IFCAM / Geschäftsführer IFCAM,,Estavayer-le-Lac,1'667,
16.05,Dällenbach,Armin,1963,"maître de sport, animateur coordinateur en gérontologie / Sportlehrer, Koordinationsbetreuer für Gerontologie",,Posieux,1'480,
16.07,Dällenbach,Aymeric,1976,agent professionnel de sécurité et de surveillance / Fachmann für Sicherheit und Überwachung,,Villars-sur-Glâne,724,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,17,Junge Grüne,,,,,
Kürzel,,JG,,,,,,
Sitze,,0,,,,,,
Kandidatenstimmen,,,7'103,,,,,
Zusatzstimmen,,,175,,,,,
Parteistimmen,,,7'278,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
17.01,Stegmann,Natasha,1989,"ethnologue, coprésidente des Jeunes Verts / Ethnologin, Co-Präsidentin Junge Grüne",,Fribourg/Freiburg,1'596,
17.02,Mendez,Monica,1988,"étudiante en sociologie, coprésidente des Jeunes Verts / Studentin in Soziologie , Co-Präsidentin Junge Grüne",,Fribourg/Freiburg,1'238,
